Label	Weight	Text
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	What is a period
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	magnitude
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	metamorphic
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	epoch
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	What is a metamorphic rock
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	era
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	let's study geology
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	lava
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	study geology
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	pressured rock
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	What is an era
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	i want to study geology
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	rising lava
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	What is magma
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	geology
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	geo
q_4dcfe107-83c3-4943-ac8f-3435e31f8624	33.64706	time
q_chitchat	1	Happy Birthday!
q_chitchat	2	I think you hate me.
q_chitchat	1	Can we be friends
q_chitchat	1	Do you know any jokes
q_chitchat	1	Hum a tune
q_chitchat	2	That was a stupid answer.
q_chitchat	1	Say something
q_chitchat	2	That's not true.
q_chitchat	1	You're useless
q_chitchat	1	Nope, false
q_chitchat	1	What's your favorite color
q_chitchat	1	You're awful
q_chitchat	1	You suck
q_chitchat	1	Are you selling my data
q_chitchat	1	Do you have a life partner
q_chitchat	1	I want to go shopping
q_chitchat	1	What do you think about me
q_chitchat	1	You're right.
q_chitchat	1	Sorry about that
q_chitchat	1	I am here
q_chitchat	1	You’re racist
q_chitchat	1	That wasn't true
q_chitchat	1	Are you prettier than me
q_chitchat	1	Do you have brothers
q_chitchat	1	Hi
q_chitchat	1	Thnx
q_chitchat	1	Do you have siblings
q_chitchat	1	That's awesome
q_chitchat	1	What's your purpose
q_chitchat	1	Season's greetings!
q_chitchat	1	That's accurate
q_chitchat	1	Are you my assistant
q_chitchat	1	Can you ask me a question
q_chitchat	1	You're such a smarty-pants
q_chitchat	1	You keep saying the same thing all the time
q_chitchat	1	It's a pleasure to meet you
q_chitchat	1	I'm so lonely
q_chitchat	1	So tired
q_chitchat	1	Why
q_chitchat	1	Do you know any songs
q_chitchat	1	Aren't you chipper
q_chitchat	1	Do you think I should ask him out
q_chitchat	1	Are you a boy
q_chitchat	1	You're a fuckup
q_chitchat	1	What do you go by
q_chitchat	1	Where are you located
q_chitchat	1	I miss you
q_chitchat	1	Who owns you
q_chitchat	1	Try to make some sense
q_chitchat	1	Do you have a name
q_chitchat	1	Do you know the meaning of life
q_chitchat	1	What is love
q_chitchat	1	Do you ever sing
q_chitchat	1	Do you sing
q_chitchat	1	How are you
q_chitchat	1	Tell me a science joke
q_chitchat	1	Do you dream
q_chitchat	1	You're dumb
q_chitchat	2	I love New York.
q_chitchat	1	Are you young
q_chitchat	1	Can you sing a song
q_chitchat	1	What's your favorite food
q_chitchat	1	Awesome
q_chitchat	1	Do you like me
q_chitchat	1	What do you think about Alexa
q_chitchat	1	You're so happy
q_chitchat	1	How beautiful am i
q_chitchat	1	What do you mean
q_chitchat	1	Give me a joke
q_chitchat	1	Can you sing
q_chitchat	1	Do I look okay
q_chitchat	1	What do you think of me
q_chitchat	1	I am bored
q_chitchat	1	How's your day going
q_chitchat	1	What is up
q_chitchat	1	Later
q_chitchat	1	What are you
q_chitchat	1	Are you female
q_chitchat	1	Are you in a relationship
q_chitchat	1	Hello
q_chitchat	1	What do you think about Cortana
q_chitchat	1	I'm furious
q_chitchat	1	I despise you
q_chitchat	1	You honestly could not be more uninteresting
q_chitchat	1	Fuck off
q_chitchat	1	Are you trans
q_chitchat	1	How happy are you
q_chitchat	1	You're boring
q_chitchat	1	You're so cool
q_chitchat	1	You're nice!
q_chitchat	1	How high can you count
q_chitchat	1	Tell me a different joke.
q_chitchat	1	That was correct
q_chitchat	1	Are you happy
q_chitchat	1	Do you get hungry
q_chitchat	1	What should I call you
q_chitchat	1	Later alligator
q_chitchat	1	I think you're so pretty
q_chitchat	1	Who is your mother
q_chitchat	1	You seem happy
q_chitchat	1	Are you a girl or a boy
q_chitchat	1	Where are you from
q_chitchat	1	I thank you
q_chitchat	1	I can't think of anything I want to do
q_chitchat	1	Are you my imaginary friend
q_chitchat	1	What kind of candy do you like
q_chitchat	1	Where did you come from
q_chitchat	1	Sing a tune
q_chitchat	1	How are you doing
q_chitchat	1	Talk to me
q_chitchat	1	What are you doing
q_chitchat	1	What can you do
q_chitchat	1	Who is your father
q_chitchat	1	How do you feel about working late
q_chitchat	1	Shut up
q_chitchat	1	What's your favorite animal
q_chitchat	1	Are you the singularity
q_chitchat	1	Inaccurate
q_chitchat	1	I need a kiss
q_chitchat	1	How was your day
q_chitchat	1	Are you awesome
q_chitchat	1	I want to lie down
q_chitchat	1	Do you and Cortana hang out
q_chitchat	1	Are you a lesbian
q_chitchat	1	Do you spend time in your garden
q_chitchat	1	I'd like to take you out on a date
q_chitchat	1	Do you have boogers
q_chitchat	1	You made no sense
q_chitchat	1	Omg sorry
q_chitchat	1	Do you have a family
q_chitchat	1	Who's your mom
q_chitchat	1	That's not accurate
q_chitchat	1	Love you!
q_chitchat	1	Give me a fist bump
q_chitchat	1	Why not
q_chitchat	1	What do you mean by that
q_chitchat	1	Who's your boss
q_chitchat	2	I'm in love with you.
q_chitchat	1	I appreciate it
q_chitchat	1	FALSE
q_chitchat	1	What can you help me with
q_chitchat	1	What do you think about technology
q_chitchat	1	Do you know Alexa
q_chitchat	1	BRB
q_chitchat	1	Who's your master
q_chitchat	1	What's your name
q_chitchat	2	That wasn't funny.
q_chitchat	1	Zip it!
q_chitchat	1	Hold on a sec
q_chitchat	1	Pardon me
q_chitchat	1	What did you do today
q_chitchat	1	Who's smarter, me or you
q_chitchat	1	Are you human
q_chitchat	1	Be quiet
q_chitchat	1	Are we friends
q_chitchat	1	You're the best
q_chitchat	1	Joke's on you
q_chitchat	1	Sing something
q_chitchat	1	Do you know other chatbots
q_chitchat	1	Am I a good person
q_chitchat	1	I think you're great
q_chitchat	1	Do you think dragons are cool
q_chitchat	2	Ask me a question.
